Штрихкод;ID;Артикул;Наименование;Единица;Коэффициент;
2000002495437;006783     ;;Порошок полиэтилена белый (0,3-0,6 мм);кг;1;
2000002416814;006820     ;;Диметикон DC 200/50 (Белсил ДМ 50);кг;1;
2000001648780;006954     ;;Воск карнаубский 2442;кг;1;
2000001648797;006955     ;;Миноксидил;кг;1;
2000002416401;007220     ;;активатор ОМЕГА ЦХС;кг;1;
2000002495567;007221     ;;Протектан CLR-420 (Protectan CLR 420);кг;1;
2000002512417;007238     ;;Эфирное масло розмарина;кг;1;
2000002494614;007270     ;;Отдушка Flower Spa;кг;1;
2000002496489;007272     ;;Синтален CR (Sinthalen CR, полиикватерниум 37, ChemCare P 37, ХемКаре);кг;1;
2000002512639;007273     ;;Экстракт аира (пропиленгликолевый);кг;1;
2000002512622;007274     ;;Экстракт березовых почек (пропиленгликолевый);кг;1;
2000002512615;007275     ;;Экстракт девясила (пропиленгликолевый);кг;1;
2000002512592;007276     ;;Экстракт крапивы (пропиленгликолевый);кг;1;
2000002493334;007280     ;;"Отдушка ""Repair Therapy"" (5125)";кг;1;
2000002493709;007281     ;;"Отдушка ""VOLUME & SHINE"" (5128)";кг;1;
2000002496205;007286     ;;ПЭГ-6000 ;кг;1;
2000002513131;007287     ;;Краситель Rodol CRS (4 хлор резорцин);кг;1;
2000002493525;007288     ;;"Отдушка ""SO MAGIC""";кг;1;
2000002513148;007294     ;;Краситель Rodol PAOX (2 метил 5 гидроксиэтил аминофенол);кг;1;
2000002493822;007402     ;;Отдушка Beautiful Day;кг;1;
;007769     ;С/П BALS SSBL;Основа  Бальзам Виталь, кг;кг;1;
;007770     ;С/П BALS ESTEL;Основа  Бальзам Персик, кг;кг;1;
;007771     ;С/П BALS NAT;Основа  Бальзам Naturals, кг;кг;1;
;007772     ;С/П BALS LOVE;Основа  Бальзам LOVE, кг;кг;1;
;007773     ;С/П МАСКА;Основа  Маска ONLY, кг;кг;1;
;007774     ;С/П БЛЕСК;Основа  Блеск актив ONLY, кг;кг;1;
2000002416753;007885     ;;Диметикон (Silsoft Q) 904027B;кг;1;
2000002491507;007888     ;;Ниацинамид;кг;1;
2000002417330;007889     ;;Масло жожоба (Париол голд 333);кг;1;
